,Unnamed: 0,Unnamed: 0.1,학번,학생소속대학명,학생교육부계열,성별,입학과정,학적,학과,전공,전공교수,rec012_nation_cd,과정,수료년도,수료학기,rec012_birth_dt,gpa,rec012_school_term,인건비총액,서류점수,면접점수,학부출신,대학원출신,월별인건비
3782,3782,8525,AAG9DcbT5yRFeZS5oYcS1U3+,공과대학,공학,1,정원내신입학,재학,전기전자공학과,전기에너지,AAHDrYOCBmMfVd1zZyR4RFBP,korean,석사과정,,,19951118,4.38,2,29835302,45.21,44.73,타교,,2486275.167
3783,3783,8526,AAFIp1Yr2CViVyXSgan9OTXQ,공과대학,공학,1,정원내신입학,재학,전기전자공학과,반도체 및 나노전공,AAFdRZU5Uy5qf4+4nNEb3Bx6,korean,석사과정,,,19950428,4.33,2,,43.63,42.74,타교,,0
3784,3784,8527,AAGEJEPcsQL1MbW/iM63UabU,공과대학,공학,1,정원외-계약학과,제적,자동차융합학과,전자제어전공,AAHy8v9SxR3RPadDh04S1IFi,korean,석사과정,,,19921229,4.17,1,4400000,49,47,타교,,733333.3333
3806,3806,8559,AAE3jGuYiqDLcT+UjjoBVZEf,공과대학,공학,1,정원내신입학,재학,전기전자공학과,전기에너지,AAGRTPXixnSpI96DkLMAgUw7,korean,석사과정,,,19940620,4.38,2,16173820,47.33,46.73,자교,,1347818.333
3808,3808,8561,AAHQ+r1WDW+iuZRGE15qhHZS,공과대학,공학,2,정원내신입학,재학,전기전자공학과,전기에너지,AAEXnyv6IN+A1KKGomXr5cbD,korean,석사과정,,,19970414,4.33,2,17100000,47.3,46.28,타교,,1425000
3809,3809,8563,AAHEj7MGZKGGDZi4C2uY3Anh,공과대학,공학,1,정원내신입학,재학,전기전자공학과,컴퓨터공학전공,AAG1z8MOPsG4V/wTjh0NmDLJ,korean,석사과정,,,19960126,4.5,2,10500000,48.98,49.41,자교,,875000
3810,3810,8564,AAHGIsQoQl+RRJcfJja4eLKc,공과대학,공학,2,정원내신입학,재학,전기전자공학과,집적회로전공,AAG4MQBz04451TMpmT1c5RIs,korean,석사과정,,,19980305,4.5,2,8460000,49.83,49.63,자교,,705000
3811,3811,8565,AAHtA1IRVkR41pe3xoUR3Wa2,공과대학,공학,1,정원내신입학,재학,전기전자공학과,반도체 및 나노전공,AAGSqa2+TxmLdYnES0lVt1Mj,korean,석사과정,,,19920302,4.33,2,12990000,39.19,38.4,타교,,1082500
3812,3812,8566,AAERRyAA0OBD3zBBii7zIDwf,공과대학,공학,1,정원내신입학,재학,전기전자공학과,전기에너지,AAGDGLl29YC1WZ2udO/Jhl+/,korean,석사과정,,,19950402,4.5,2,15306000,49.03,49.07,자교,,1275500
3813,3813,8567,AAEf2t+HUUIo3HtMblA7Njj+,공과대학,공학,1,정원내신입학,재학,전기전자공학과,컴퓨터공학전공,AAFJLDVGob6voRy+G3e6TSKV,korean,석사과정,,,19931014,4.17,2,7350000,43.46,44.45,타교,,612500
3814,3814,8568,AAHCd8wl1nzO3sj3C8+iY1FQ,공과대학,공학,1,정원내신입학,재학,전기전자공학과,통신 및 네트워크전공,AAH0N/gEAzKXntPYBPaq+9jl,korean,석사과정,,,19951025,4.5,2,21150000,43.55,43.77,자교,,1762500
3815,3815,8569,AAGMUrUO1EtIhcg+FYmaHDM0,공과대학,공학,1,정원내신입학,재학,전기전자공학과,신호 및 멀티미디어전공,AAG0SPmPhzsUQPZ46a9++2no,korean,석사과정,,,19950403,4.5,2,3570000,47.28,46.41,타교,,297500
3830,3830,8587,AAGsKl1QWvZSvRWiSS/t2pdp,공과대학,공학,1,정원내신입학,재학,전기전자공학과,컴퓨터공학전공,AAG1z8MOPsG4V/wTjh0NmDLJ,korean,석사과정,,,19960829,4.5,2,10500000,39.71,39.66,타교,,875000
3831,3831,8588,AAELmnLCQh7ifQINLP5dsQ1E,공과대학,공학,1,정원내신입학,재학,전기전자공학과,통신 및 네트워크전공,AAHHokiidcQRGCVM5UUNCY0J,korean,석사과정,,,19951104,4.5,2,9501870,41.79,42.33,타교,,791822.5
3832,3832,8589,AAGIVWr5cJC4NSiohsxPs/8Q,공과대학,공학,1,정원내신입학,재학,전기전자공학과,컴퓨터공학전공,AAH21A4vb3SvJdJfujF2CFFF,korean,석사과정,,,19790925,4.5,2,,43.79,43.25,자교,,0
3834,3834,8598,AAG0vjT3RDn5QZFUyROFoFUv,공과대학,공학,1,정원내신입학,제적,전기전자공학과,반도체 및 나노전공,AAGSqa2+TxmLdYnES0lVt1Mj,korean,석사과정,,,19970202,4.5,1,3550000,41.77,42.47,타교,,591666.6667
